Mixture,Classical monocytes,NK cells,B cells,pDC,Mast cells,T cytotoxic,Non-classical monocytes,cDC2,cDC1,DC_Mature,Tregs,T helper,B Plasma,Macrophage,Macrophage_Alveolar,P-value,Correlation,RMSE,Absolute score (sig.score)
DSP-1001660011973-F-A05.dcc,0.0186931489139993,0.0813989210907567,0.246346046277983,0.0741048215727512,0.0438404476255924,0,0.093518082136153,0.0477807001502767,0,0.090020035572033,0.109848981986911,0.147429447047667,0.0344539093454491,0.127173772227354,0.0174960298488069,0,0.27445161500564,0.962929188883631,1.13210434379573
DSP-1001660011973-F-A06.dcc,0,0.0993397179698361,0.29542242008236,0.0465057957330203,0.0319909635386421,0,0.0830725759291109,0.125592062896826,0,0.141461775841642,0.0957450276921156,0.127845653335509,0.0250663835574153,0.0553535205433027,0.0198647485644383,0,0.300111863922337,0.957681695080377,1.14726064568422
DSP-1001660011973-F-A07.dcc,0.000995764649761082,0.142195085188705,0.286558923660394,0.0945509456377183,0.0346922419770284,0,0.0479752579726046,0.116966902935766,0,0.114318089275898,0.0359893157740824,0.163008483934418,0.02652781351101,0.0682077914609533,0.00940081733382573,0,0.264769623096538,0.965441515658687,1.14138743331216
DSP-1001660011973-F-A08.dcc,0,0.0973493525844399,0.246959237102609,0.060239694714303,0.0308860238305741,0.0149271130914655,0.0378401651232812,0.135032592683503,0,0.142621248418167,0.12862157031021,0.135398999069791,0.0310957477061154,0.0664550442262054,0,0,0.293450229105651,0.958678537330535,1.12742678886066
DSP-1001660011973-F-A09.dcc,0,0.0516908673079116,0.191001828789865,0.0684231257852161,0.0531431443935254,0.0256541730020066,0.0513432378063487,0.17804264329661,0,0.106377009231449,0.0704238406993957,0.192943627903098,0.0343390467858789,0.1019270986577,0,0,0.279961597887296,0.96258069966818,1.125309643659
DSP-1001660011973-F-A10.dcc,0,0.0841739998594501,0.213763622448826,0.0418591451444767,0.0624802233560929,0,0.0842694838046559,0.116655890786076,0,0.140256869919592,0.0761909951953972,0.198040888886346,0.0195261744173088,0.0820691656728973,0.0155959637902989,0,0.294774535924417,0.959980827287402,1.13488242328142
DSP-1001660011973-F-A11.dcc,0,0.108812675897326,0.2812707664956,0.0683691425725208,0.0285267822057924,0.0418629728254432,0.10290039237203,0.13886717894897,0,0.0869410545340665,0.0634407538794602,0.114323894280565,0.0351322904688615,0.0719991102702626,0,0,0.279910015424803,0.962096469848667,1.1424470147509
DSP-1001660011973-F-A12.dcc,0,0.0946221448047838,0.176863056091283,0.0875412042888997,0.0353589683552939,0.0489528252441412,0.0982098237640789,0.150122838686997,0,0.11718284732616,0.0317418804836226,0.17565677013527,0.0371491903023805,0.0754031105588816,0,0,0.248243640290533,0.969415322901048,1.12880466004179
DSP-1001660011973-F-B01.dcc,0,0.0246226939393012,0.175017797364735,0.0910602663685351,0.0593503411318714,0.0383003380177962,0.0958697752932747,0.0999494060761958,0,0.138401454787569,0.0973914982177423,0.164772479643072,0.0320343875967705,0.120860091330077,0,0,0.283192967275329,0.961506985011276,1.13763052976694
DSP-1001660011973-F-B02.dcc,0,0.0606787338203246,0.173367148065424,0.0845115493258038,0.0576953843976153,0.045201016792777,0.0677138247819715,0.163607222800679,0,0.100294812352745,0.0801951272353129,0.174091168296316,0.031740327712654,0.0725621924448055,0.0155066695481982,0,0.28044898976235,0.963086820074545,1.12716517757463
DSP-1001660011973-F-B03.dcc,0,0.0796572889528398,0.191070854146591,0.0674065795395355,0.0485545428144398,0.016430087072668,0.0599396560112004,0.188586202348528,0,0.100037974915456,0.0766998146864015,0.151794916390575,0.0375027487344816,0.0922794733664958,0.019940247076158,0,0.277326791455992,0.962943739719979,1.12990038605537
DSP-1001660011973-F-B04.dcc,0,0.072572004967674,0.198072369378927,0.0826940830419186,0.0544007390578108,0.0246451000527913,0.0997970873392594,0.124892332042835,0,0.145242796853619,0.0315722459550884,0.17734652367757,0.023911833198709,0.099132093868209,0,0,0.275418608792211,0.96384216903834,1.13427920943441
DSP-1001660011973-F-B05.dcc,0.0138145266498386,0.0837427555883002,0.233627488767493,0.10324724007865,0.0610976163966372,0.0700473261168911,0.0461721362016284,0.151694745446206,0,0.137544412017869,0.026575884846048,0.128041943042882,0.0327185792843138,0.0551075464853091,0,0,0.291873022966968,0.95982300943634,1.14343220092207
DSP-1001660011973-F-B06.dcc,0,0.046895983240685,0.172127504063438,0.0974329334901695,0.0311177072560316,0.0783266810458953,0.0875869449665271,0.159167433276932,0,0.119299936666111,0.100164352697767,0.122864152111493,0.0258438073771212,0.0815712819263185,0.014010180025279,0,0.285085656858501,0.96217641142117,1.13640889814377
DSP-1001660011973-F-B07.dcc,0,0.0848198887614537,0.241178670752183,0.0944140437262931,0.0182442745894948,0.00984666334733926,0.0824272502454504,0.178434326855344,0,0.110923356921787,0.0491402127297058,0.189207301342659,0.0290900944452722,0.0516962378863434,0,0,0.273790958849659,0.964111365015733,1.13942232160332
DSP-1001660011973-F-B08.dcc,0,0.0712757716149398,0.182850461821643,0.0992555724118665,0.0437313616836875,0.0345976938347914,0.0544553869769099,0.130601915489994,0,0.151842682085065,0.044143957282849,0.191613342886569,0.0266217876652188,0.108465420314507,0.00317509463082708,0,0.272236113250004,0.964258850712169,1.14263044869887
DSP-1001660011973-F-B09.dcc,0,0.0755345686637332,0.213018095385626,0.0981095678672736,0.0455902774455131,0.073265683483806,0.0850207702522728,0.127122830334553,0,0.106412617324534,0.0577016975382012,0.137411276489159,0.0282529100863248,0.0826966523481362,0.00598342651199369,0,0.286062503959369,0.961801992891876,1.13612037373113
DSP-1001660011973-F-B10.dcc,0,0.0747420173602108,0.240663040499665,0.0823483150107436,0.0705691809580301,0.0352586276932763,0.0729855158403276,0.191259547751382,0,0.0842619815597329,0.0700820119131917,0.142486554977113,0.0190084354260265,0.0700845225352296,0,0,0.275809258358279,0.964623877180565,1.15374975152493
DSP-1001660011973-F-B11.dcc,0,0.0660726947329531,0.247452852692122,0.0680433866397107,0.0690314514133078,0.0234639688858384,0.0950754546983675,0.102946296177991,0,0.120168315956019,0.0436574727042568,0.177745701795568,0.0253712070790504,0.0963395778651083,0.00353994309999633,0,0.283448969024734,0.96213361073243,1.13890832374029
